"X1" "X2"
"1" 36.9214456490202 41.619058748033
"2" 36.1896021000005 35.0324668068557
"3" 35.8236803254906 30.6414055127375
"4" 36.5555238745103 27.3481095421489
"5" 39.848819845099 25.8844224441095
"6" 38.7510545215694 22.2252046990110
"7" 38.0192109725497 17.8341434048928
"8" 38.0192109725497 11.2475514637155
"9" 38.7510545215694 8.32017726763665
"10" 43.5080375901975 7.2224119441071
"11" 44.2398811392172 8.32017726763665
"12" 46.0694900117664 10.8816296892056
"13" 48.2650206588255 9.4179425911662
"14" 48.9968642078452 6.85649016959724
"15" 53.3879255019634 5.026881297048
"16" 56.3152996980422 5.026881297048
"17" 58.8767521196112 6.85649016959724
"18" 59.242673894121 7.58833371861696
"19" 62.9018916392195 8.32017726763665
"20" 66.1951876098082 4.2950377480283
"21" 69.4884835803968 2.46542887547904
"22" 72.4158577764756 0.269898228419943
"23" 77.9046843941234 -2.291554193149
"24" 81.9298239137318 -2.65747596765886
"25" 85.95496343334 -0.0960235460899027
"26" 86.6868069823598 2.8313506499889
"27" 88.516415854909 3.19727242449875
"28" 91.4437900509878 1.00174177743965
"29" 92.9074771490273 -1.92563241863916
"30" 94.7370860215765 -3.02339774216871
"31" 95.1030077960864 -6.31669371275735
"32" 94.0052424725568 -8.87814613432631
"33" 94.0052424725568 -11.0736767813854
"34" 95.4689295705962 -14.3669727519741
"35" 97.2985384431455 -16.1965816245233
"36" 97.6644602176553 -16.1965816245233
"37" 100.225912639224 -27.1742348598188
"38" 103.153286835303 -30.4675308304075
"39" 106.080661031382 -34.4926703500158
"40" 110.83764410001 -34.8585921245257
"41" 112.667252972559 -34.126748575506
"42" 114.130940070599 -33.0289832519764
"43" 117.790157815697 -33.0289832519764
"44" 120.351610237266 -34.126748575506
"45" 129.865576374522 -34.8585921245257
"46" 130.597419923542 -34.126748575506
"47" 132.792950570601 -32.2971397029567
"48" 134.98848121766 -31.9312179284469
"49" 136.452168315699 -31.1993743794272
"50" 139.379542511778 -31.9312179284469
"51" 143.770603805896 -32.6630614774666
"52" 148.893508649034 -31.1993743794272
"53" 151.820882845113 -28.6379219578582
"54" 152.918648168643 -26.808313085309
"55" 152.918648168643 -25.3446259872696
"56" 156.211944139231 -24.9787042127597
"57" 157.675631237271 -25.3446259872696
"58" 159.139318335310 -26.4423913107991
"59" 162.432614305899 -27.9060784088385
"60" 166.457753825507 -29.7356872813878
"61" 171.946580443155 -29.7356872813878
"62" 174.508032864724 -29.3697655068779
"63" 179.630937707862 -28.6379219578582
"64" 181.460546580411 -27.9060784088385
"65" 184.753842551000 -24.9787042127597
"66" 185.119764325510 -23.1490953402105
"67" 183.65607722747 -19.1239558206021
"68" 183.290155452960 -19.1239558206021
"69" 182.558311903941 -15.8306598500135
"70" 183.290155452960 -13.2692074284445
"71" 184.753842551000 -12.1714421049150
"72" 185.851607874529 -11.0736767813854
"73" 187.315294972569 -8.51222435981646
"74" 189.510825619628 -7.04853726177706
"75" 194.267808688256 -4.48708484020811
"76" 193.170043364726 2.8313506499889
"77" 192.804121590216 8.6860990421465
"78" 193.535965139236 16.7363780813632
"79" 186.949373198059 20.0296740519519
"80" 186.949373198059 23.6888917970504
"81" 185.851607874529 28.0799530911686
"82" 187.681216747078 33.9347014833262
"83" 187.681216747078 40.5212934245035
"84" 186.217529649039 47.1078853656808
"85" 182.924233678450 51.8648684343088
"86" 174.508032864724 46.7419635911709
"87" 160.968927207859 48.2056506892103
"88" 154.382335266682 48.5715724637202
"89" 144.868369129426 47.4738071401906
"90" 138.647698962759 47.4738071401906
"91" 133.158872345111 47.4738071401906
"92" 126.206358629424 47.8397289147005
"93" 122.547140884325 47.8397289147005
"94" 114.862783619618 52.5967119833285
"95" 110.105800550990 52.5967119833285
"96" 102.787365060793 52.5967119833285
"97" 98.7622255411849 52.5967119833285
"98" 96.5666948941258 50.4011813362694
"99" 93.2733989235371 50.0352595617596
"100" 86.32088520785 50.0352595617596
"101" 81.9298239137318 49.3034160127399
"102" 76.8069190705939 48.5715724637202
"103" 69.4884835803968 48.5715724637202
"104" 67.2929529333377 47.1078853656808
"105" 64.3655787372589 45.6441982676414
"106" 55.5834561490225 45.6441982676414
"107" 47.8990988843157 45.2782764931315
"108" 41.3125069431384 44.5464329441118
"109" 39.848819845099 42.3509022970527
"110" 36.5555238745103 41.619058748033
"111" 36.1896021000005 40.5212934245035
