n;diameter soil level (cm);sectional area (m2);estimated height (cm);x;y;Distance from propagules source (m)
752;1,826;0,000261873;130;76,21;3,72;76,30073722
761;1,2;0,000113097;80;76,15;7,9;76,55868664
753;1,39;0,000151747;60;75,05;15,2;76,57377162
734;1,081;9,17786E-05;60;76,52;7,8;76,91651578
768;1,1;9,50332E-05;84;77,27;4,97;77,42967002
737;1,234;0,000119597;50;77,48;3,95;77,58062194
736;1,161;0,000105865;50;77,48;4,9;77,63478859
733;1,36;0,000145267;63;77,29;7,5;77,65303664
767;1,4;0,000153938;80;77,97;4,97;78,12823945
738;1,016;8,10732E-05;50;78,08;4,75;78,22434979
729;1,682;0,000222199;130;77,2;13;78,28690823
732;1,162;0,000106048;50;78,1;7,5;78,45928881
731;1,555;0,000189911;130;78,1;9,4;78,66365107
765;1,7;0,00022698;120;78,77;4,1;78,87663089
740;1,05;8,65901E-05;70;78,72;5,47;78,90981751
739;1,1;9,50332E-05;67;78,88;5,75;79,089297
741;1,269;0,000126477;70;78,91;6,23;79,15554939
742;1,598;0,00020056;130;79,31;3,03;79,36785873
744;1,745;0,000239156;140;79,51;3,42;79,58351902
763;1,9;0,000283529;130;79,57;3,9;79,66551889
762;1,8;0,000254469;120;80,15;3,5;80,22638282
746;1,534;0,000184816;180;81,06;2,02;81,0851651
749;1,616;0,000205103;130;81,5;4,07;81,60156187
748;1,087;9,28002E-05;70;81,7;3,17;81,76147565
718;1,358;0,00014484;80;81,92;6,9;82,21007481
723;1,298;0,000132324;70;82,12;7,7;82,48020611
722;1,164;0,000106413;110;82,12;8,1;82,51850944
724;1,708;0,000229121;125;82,12;8,7;82,57956406
716;1,839;0,000265615;160;82,52;6,24;82,75559196
720;1,632;0,000209185;144;82,72;7,34;83,04501189
721;1,175;0,000108434;72;82,72;8,1;83,11563271
719;1,311;0,000134988;120;82,92;7,2;83,23200346
725;1,174;0,00010825;66;82,89;8,7;83,3453184
727;1,054;8,72511E-05;60;82,89;8,91;83,36750086
714;1,657;0,000215643;100;83,37;6,37;83,61300019
726;1,629;0,000208416;130;83,22;8,51;83,65398078
711;1,928;0,000291947;176;84,29;6,8;84,56384629
710;1,063;8,87476E-05;40;84,57;7,67;84,91709957
709;1,607;0,000202825;90;84,82;9,07;85,30355971
707;1;7,85398E-05;63;85,22;8,36;85,62907217
702;1,868;0,000274059;96;86,02;9,66;86,56070702
701;1,656;0,000215383;130;85,86;11,06;86,56941261
706;1,714;0,000230734;125;86,42;8,36;86,8234185
705;1,23;0,000118823;60;86,92;7,06;87,20624978
700;1,644;0,000212272;100;86,2;13,86;87,30715664
703;1,539;0,000186023;100;87,72;9,66;88,25029178
699;1,187;0,00011066;73;88,05;13,5;89,07891165
697;1,04;8,49487E-05;50;89,3;12,45;90,16369835
698;1,885;0,00027907;100;89,1;13,89;90,17617257
694;1,99;0,000311026;130;90,7;10,71;91,33013796
691;1,959;0,000301411;150;91,15;10,27;91,7267431
692;1,44;0,00016286;86;91,35;10,51;91,95261062
696;1,573;0,000194333;130;91,4;12,45;92,24403775
688;1,558;0,000190645;100;93,7;9,85;94,21630697
685;1;7,85398E-05;70;94,35;11,8;95,08502774
684;1,425;0,000159485;60;94,35;12,4;95,16134982
552;1,493;0,000175069;90;94,42;15,06;95,61349277
555;1,375;0,000148489;100;94,02;18,46;95,81509276
422;1,578;0,000195571;80;97,8;3,6;97,86623524
681;1,175;0,000108434;58;97,25;17,4;98,79434447
549;1,489;0,000174132;50;98,2;14,59;99,2779336
680;1,895001055;0,000282039;110;97,95;18,2;99,62651504
423;1,617;0,000205357;80;99,8;3,6;99,86490875
548;1,142;0,000102429;50;98,72;15,39;99,91241414
431;1,309;0,000134576;100;99,98;0,75;99,98281302
414;1,629;0,000208416;100;99,3;13,25;100,1801003
563;1,148;0,000103508;70;93,77;36,51;100,6269994
430;1,584;0,000197061;120;101,48;1,55;101,4918366
346;1,734;0,00023615;120;101,33;-10,08;101,8301296
413;1,005;7,93272E-05;70;101,8;15,15;102,921147
348;1,776;0,000247728;100;104,03;-11,48;104,6615082
438;1,499;0,000176479;125;105,68;7,1;105,9182345
354;1,249;0,000122522;70;106,77;-6,38;106,9604474
440;1,835;0,000264461;140;106,73;7,6;107,0002472
410;1,312;0,000135194;90;107,9;11,35;108,495311
525;1,365;0,000146337;80;106,32;22,24;108,6211766
302;1,637;0,000210469;100;108,18;-24,86;110,9996937
334;1,588;0,000198057;110;109,67;-18,53;111,2244119
444;1,688;0,000223787;100;111,73;10,6;112,2316929
405;1,606;0,000202573;100;112;11,9;112,6304133
373;1,956;0,000300488;150;111,52;-17,46;112,8785276
333;1,834;0,000264173;127;111,47;-17,93;112,9028157
332;1,695;0,000225647;80;111,47;-19,53;113,1679363
361;1,583;0,000196812;85;113,97;-7,98;114,2490319
360;1,923;0,000290435;132;113,97;-10,28;114,4326846
522;1,975;0,000306354;160;112,67;20,68;114,5521335
308;1,836;0,00026475;80;111,68;-26,36;114,7487342
519;1,845;0,000267351;137;111,82;26,28;114,8666653
298;1,834;0,000264173;140;111,98;-28,06;115,442124
371;1,474;0,000170642;100;114,42;-16,65;115,625079
310;1,438;0,000162408;125;112,28;-27,84;115,6800069
536;1,295;0,000131713;115;107,87;42,24;115,8453905
311;1,537;0,00018554;88;113,28;-25,24;116,0578132
513;0,789;4,88927E-05;70;113,64;25,83;116,5385709
365;1,281;0,000128881;85;116,77;-9,18;117,130292
366;1,617;0,000205357;80;116,77;-10,08;117,2042631
325;1,314;0,000135607;62;115,31;-21,4;117,278967
531;1,682;0,000222199;130;112,22;35,14;117,5931461
312;1,717;0,000231542;100;114,98;-25,24;117,7177047
517;1,501;0,00017695;120;114,62;26,93;117,7411113
313;1,849;0,000268512;80;114,98;-25,84;117,8478086
368;1,663;0,000217207;120;117,25;-12,55;117,9197397
323;1,807;0,000256452;146;116,51;-21,4;118,4590229
377;1,745;0,000239156;130;118,12;-12,89;118,8212376
512;1,62;0,00020612;120;113,64;35,63;119,0946955
449;1,147;0,000103328;80;119,58;1,75;119,5928045
318;1,305;0,000133755;77;117,91;-22,95;120,1227314
321;1,429;0,000160382;115;118,36;-23,16;120,6046235
402;1,524;0,000182415;90;120,6;12;121,1955445
451;1,667;0,000218253;80;120,78;11,59;121,3348116
385;1,216;0,000116133;90;120,29;-17,79;121,598389
488;1,458;0,000166957;80;120,25;20,9;122,0527447
489;1,625;0,000207394;140;120,25;22,7;122,3738228
452;1,738;0,000237241;75;121,93;10,59;122,3890232
506;1,648;0,000213307;175;113,28;46,98;122,6355528
453;1,76;0,000243285;110;122,43;8,59;122,7309782
497;1,306;0,00013396;82;118,02;34,63;122,9957613
295;1,666;0,000217992;143;120,04;-28,81;123,4488465
401;1,54;0,000186265;110;123,8;13,8;124,5667692
293;1,45;0,00016513;70;120,9;-30,21;124,6172303
464;1,89;0,000280552;150;121,05;30,85;124,9192739
460;1,487;0,000173665;100;123,45;25,95;126,1479489
502;1,559;0,00019089;92;117,58;47,93;126,9737819
292;1,86;0,000271716;100;124,8;-30,21;128,4043773
465;1,862;0,000272301;130;124,95;29,85;128,4660461
484;1,222;0,000117282;50;125,32;36,42;130,5048612
289;1,799;0,000254186;130;128,06;-28,23;131,1346503
486;1,603;0,000201817;105;126,82;35,72;131,7544337
218;1,3;0,000132732;80;131,9;3,64;131,9502164
252;1,8;0,000254469;130;131,7;14,25;132,468685
221;1,6;0,000201062;130;132,5;1,47;132,5081541
220;1,2;0,000113097;100;132,5;1,74;132,5114244
225;1,4;0,000153938;110;132,9;6,67;133,0672721
480;1,762;0,000243838;90;126,67;43,5;133,9310976
191;1,7;0,00022698;130;129,61;34,55;134,1359557
250;1,5;0,000176715;70;133,7;13,15;134,3451246
222;1,4;0,000153938;123;134,4;2,47;134,4226949
255;1,2;0,000113097;50;133,53;16,25;134,5151419
227;1,9;0,000283529;117;134,58;8,27;134,8338581
468;1,443;0,000163539;80;132,15;29,15;135,3268081
256;1,9;0,000283529;165;134,53;16,75;135,5687405
186;1,6;0,000201062;100;131,16;34,8;135,6981415
457;1,573;0,000194333;120;133,65;23,75;135,7438212
189;1,2;0,000113097;130;131,96;32,55;135,9152092
188;1,5;0,000176715;110;131,96;33,5;136,1458468
232;1,6;0,000201062;140;135,68;11,77;136,1895565
285;1,673;0,000219827;140;133,98;-25,63;136,4094473
184;1,1;9,50332E-05;30;131,16;37,8;136,4982989
280;1,065;8,90818E-05;70;135,85;-17,71;136,9995131
469;1,354;0,000143988;130;132,15;38,15;137,5465194
187;1,1;9,50332E-05;137;133,26;35,5;137,9074965
470;1,384;0,00015044;100;132,9;38,15;138,2672503
471;1,657;0,000215643;140;133,3;38,15;138,651767
183;1;7,85398E-05;70;132,96;40,05;138,8609524
234;1,7;0,00022698;116;139,25;10,37;139,635595
278;1,33;0,000138929;80;139,15;-15,51;140,0117231
257;1,7;0,00022698;136;138,75;20;140,1840308
231;1,4;0,000153938;113;139,85;10,17;140,2192975
182;1,3;0,000132732;80;134,26;41,05;140,395335
276;1,27;0,000126677;90;139,55;-15,51;140,4092682
277;1,334;0,000139766;80;140,05;-16,31;140,9965198
473;1,191;0,000111407;80;135,2;40,45;141,1213751
244;1,2;0,000113097;80;140,35;17,05;141,3818411
236;1,5;0,000176715;87;141,3;9,8;141,6394366
472;1,488;0,000173898;100;135,7;40,65;141,6577301
240;1,1;9,50332E-05;80;141,25;14,25;141,9669856
475;1,53;0,000183854;100;135,7;41,9;142,0214772
275;1,935;0,000294071;155;141,05;-17,21;142,0960471
476;1,974;0,000306044;180;136,27;41,9;142,5662053
239;1,1;9,50332E-05;60;142,6;13,75;143,2613783
208;1,2;0,000113097;90;143,6;1,14;143,604525
238;1,5;0,000176715;90;143,1;12,05;143,6064501
209;1,7;0,00022698;147;143,6;2,44;143,6207283
273;1,34;0,000141026;87;143,45;-14,21;144,1520954
207;1,6;0,000201062;120;144,8;1,48;144,8075633
271;1,12;9,85203E-05;70;144,85;-14,61;145,5849395
258;1,928;0,000291947;150;146,55;-3,7;146,5967002
270;1,258;0,000124294;80;145,35;-19,61;146,6668831
205;1,2;0,000113097;60;147,7;0,63;147,7013436
204;1,7;0,00022698;100;147,7;1,63;147,708994
200;1,1;9,50332E-05;72;148,15;6,33;148,2851692
197;1;7,85398E-05;50;148,35;9,1;148,6288414
179;1,1;9,50332E-05;48;142,56;43,35;149,0052888
198;1,4;0,000153938;180;149,25;7,7;149,4484945
196;1,5;0,000176715;84;149,35;9,9;149,6777622
130;1,39;0,000151747;90;150,13;9,9;150,456063
176;1,2;0,000113097;30;144,61;41,73;150,5106142
177;1,7;0,00022698;70;145,11;40,38;150,6235589
132;1,983;0,000308841;140;150,68;12,1;151,1650502
129;1,604;0,000202068;100;151,33;7,8;151,5308843
135;1,471;0,000169948;100;150,9;14,75;151,6191693
128;1,521;0,000181697;100;152,63;3,3;152,6656703
142;1,338;0,000140605;100;152,84;-5,64;152,9440264
127;1,995;0,00031259;157;153,63;9,8;153,9422518
146;1,047;8,60961E-05;70;153,14;-16,44;154,0199117
152;1,164;0,000106413;80;156,74;-16;157,5545226
139;1,763;0,000244115;60;157,54;-5,24;157,6271208
150;1,311;0,000134988;100;157,24;-18,5;158,3245641
153;1,725;0,000233705;120;157,74;-16;158,5493854
149;1,976;0,000306665;120;157,24;-20,79;158,6084541
155;1,405;0,00015504;70;158,27;-18,17;159,3095785
156;1,242;0,000121153;75;158,27;-19,27;159,4387839
108;1,443;0,000163539;100;156,77;42,44;162,4130121
106;1,415;0,000157254;20;156,3;45,24;162,715542
107;1,52;0,000181458;90;156,77;43,94;162,8114139
104;1,668;0,000218515;81;157;44,36;163,1465893
103;1,26;0,00012469;60;158,3;42,96;164,025765
118;1,956;0,000300488;90;168,41;27,44;170,6308346
72;1,272;0,000127076;100;170,85;-23,97;172,5232836
92;1,83;0,000263022;90;175,2;25,85;177,0967603
63;1,826;0,000261873;116;180,05;-12,86;180,508676
61;1,74;0,000237787;140;180,33;-11,46;180,6937755
41;1,556;0,000190156;77;183,2;22,42;184,5667803
42;1,238;0,000120374;66;182,97;24,77;184,6390365
54;1,507940649;0,000178591;120;186,99;14;187,5133598
38;1,232;0,00011921;94;188,71;13,26;189,1752936
35;1,736;0,000236695;100;189,05;9,56;189,2915637
656;3,926;0,001210572;230;42,14;20,34;46,79204206
659;2,882;0,000652346;220;42,33;23,06;48,2036565
660;3,895;0,00119153;280;44,33;22,46;49,69507521
646;2,613;0,000536252;180;47,1;18,89;50,74684325
664;2,275;0,000406493;170;45,83;24,37;51,90651019
813;2,5;0,000490874;190;52,01;10,36;53,03178009
649;3,401;0,000908454;190;50,95;15,44;53,23810759
662;3,537;0,000982562;180;49,33;21,77;53,9201428
650;3,089;0,000749421;200;52,04;14,44;54,00625149
651;3,139;0,000773878;77;53,24;14,24;55,11147975
804;3,1;0,000754768;220;57,25;13,51;58,8224668
803;3;0,000706858;70;59,35;12,36;60,62336266
645;2,153;0,000364064;120;57,7;18,89;60,7134425
801;3,6;0,001017876;250;59,45;12,96;60,84623324
802;2;0,000314159;140;59,55;13,76;61,11906495
678;3,836;0,001155705;250;47,27;41,69;63,02784305
679;3,924;0,001209338;200;47,77;41,69;63,40369863
799;2;0,000314159;100;62,55;13,21;63,92970045
634;2,843;0,00063481;160;62,26;15,34;64,12194008
633;2,919;0,000669203;185;62,65;15,94;64,64600606
595;2,194;0,000378062;145;57,01;30,84;64,81701706
642;3,867;0,00117446;230;61,7;20,79;65,10847948
629;3,949;0,001224797;250;64,83;14,69;66,47349096
628;3,027;0,000719639;250;65,93;13,19;67,23645589
627;2,073;0,000337511;135;66,63;12,19;67,73590628
795;2,2;0,000380133;142;66,93;12,75;68,13359964
790;2,3;0,000415476;141;67,63;10,75;68,47904351
796;3;0,000706858;200;67,36;16,15;69,26898368
591;3,089;0,000749421;250;60,69;33,79;69,46250931
626;2,291;0,00041223;130;68,73;10,39;69,51089843
625;3,481;0,000951695;188;68,73;10,69;69,55637282
780;2,8;0,000615752;150;70,14;6,81;70,4698212
589;3,445;0,000932113;260;63,59;33,24;71,7536459
777;2;0,000314159;130;71,59;6,32;71,86842492
778;2,2;0,000380133;120;71,59;7,71;72,0039735
587;2,881;0,000651893;150;65,69;31,24;72,74004193
607;3,141;0,000774864;157;67,31;28,18;72,97087433
588;2,406;0,000454654;160;63,99;35,24;73,05188362
623;3,118;0,000763558;175;72,93;10,69;73,70930063
624;2,487;0,000485782;80;74,23;10,69;74,99579322
750;2,432;0,000464533;180;75,1;4,27;75,22129286
606;2,252;0,000398315;80;69,11;29,98;75,33254609
615;3,716;0,001084529;300;72,61;20,81;75,5332258
759;2,4;0,000452389;140;76,05;11,45;76,90711931
735;2,747;0,000592662;200;76,76;5,4;76,94970825
769;2,2;0,000380133;130;77,27;2,72;77,31785887
599;3,533;0,000980341;300;74,01;22,54;77,36621808
582;3,045;0,000728223;180;69,27;34,84;77,53810998
613;3,095;0,000752335;240;75,11;20,93;77,97164228
602;3,904;0,001197042;380;70,31;34,48;78,30942791
766;3,6;0,001017876;200;78,57;3,57;78,65106357
730;2,533;0,000503918;160;78,1;12;79,01651726
743;3,024;0,000718213;170;79,31;2,17;79,33968112
764;2,2;0,000380133;140;79,27;4,1;79,37595921
745;2,932;0,000675177;160;81,01;2,12;81,03773504
573;3,823;0,001147885;250;70,37;41,31;81,59934436
747;2,581;0,000523198;148;81,7;2,02;81,72496803
717;3,588;0,001011101;200;82,07;7,1;82,37654338
715;2,226;0,000389171;145;82,92;6,37;83,16431506
600;2,72;0,000581069;80;74,01;39,64;83,95718969
713;2,239;0,00039373;130;83,79;5,97;84,00241068
712;2,33;0,000426385;143;83,79;6,97;84,079397
728;2,949;0,000683029;200;84,3;9,91;84,88049305
708;2,011;0,000317625;140;84,62;8,82;85,07841559
704;2,421;0,000460341;138;87,72;7,56;88,04517023
695;2,126;0,00035499;180;90,4;11,71;91,15527467
690;3,265;0,000837252;200;90,95;8,9;91,38442154
570;2,304;0,000416922;170;82,87;40,71;92,32952399
693;3,685;0,00106651;180;91,8;10,71;92,42263846
553;2,671;0,000560322;190;91,62;14,26;92,72309313
689;3,583;0,001008285;200;92,45;8,65;92,85378291
419;3,985;0,00124723;200;93,6;4,4;93,70336173
687;3,089;0,000749421;220;93,3;10,3;93,86682055
556;3,127;0,000767972;52;91,82;21,06;94,20422496
421;3,949241066;0,001224947;180;94,3;2,1;94,32337992
418;3,525;0,000975906;200;95,1;9,9;95,61391112
420;2,664;0,000557389;180;96,3;4,4;96,4004668
551;2,658;0,000554881;210;96,12;14,19;97,16177489
417;2,446;0,000469897;180;96,4;12,25;97,17521546
550;3,104;0,000756717;250;96,7;13,59;97,65028469
547;2,548;0,000509904;175;97,32;14,79;98,43742429
415;3,525;0,000975906;300;97,8;13,25;98,69347749
545;2,448;0,000470666;200;97,12;18,29;98,82721538
683;3,538;0,000983118;200;98,05;13,4;98,96141925
343;3,767;0,001114503;250;98,33;-11,34;98,98173821
427;3,741;0,001099171;300;98,8;9,25;99,23206387
432;2,569;0,000518344;150;99,28;0,15;99,28011332
416;3,115;0,00076209;260;98,9;12,25;99,65577003
344;3,655;0,001049215;170;99,43;-9,54;99,88661822
567;2,109;0,000349336;120;90,47;42,81;100,0875467
682;2,535;0,000504715;150;99,05;14,9;100,1644273
342;3,034;0,000722971;220;100,13;-13,94;101,0956997
345;3,754;0,001106824;230;100,63;-10,54;101,1804749
565;3,74;0,001098584;300;94,87;40,31;103,0786738
350;3,004;0,000708745;250;102,67;-9,53;103,1113466
568;2,865;0,000644672;220;93,07;44,41;103,1226115
437;2,638;0,000546562;250;103,78;5,4;103,9203945
542;2,478;0,000482272;210;102,07;21,72;104,3553702
349;3,189;0,000798728;210;104,03;-10,33;104,5416176
341;2,123;0,000353989;250;103,19;-19,34;104,9867215
436;3,769;0,001115686;300;105,03;5,4;105,1687259
