n;diameter soil level (cm);sectional area (m2);estimated height (cm);x;y;Distance from propagules source (m)
193;3,5;0,000962113;350;143,85;21,4;145,433086
203;2,2;0,000380133;149;147,7;4,83;147,7789528
202;3,3;0,000855299;220;147,7;5,43;147,7997798
259;2,273;0,000405778;150;148,15;-6,2;148,2796766
201;2,1;0,000346361;120;149,4;5,43;149,4986451
199;2,7;0,000572555;191;149,45;7,33;149,6296475
263;3,837;0,001156308;350;149,05;-21,25;150,5571818
264;3,524;0,000975353;250;149,05;-23,35;150,8679058
178;2,3;0,000415476;170;145,11;41,6;150,955199
174;2,4;0,000452389;122;145,96;38,81;151,0315785
167;2,9;0,00066052;240;149,7;20,76;151,1326159
175;2,4;0,000452389;190;145,76;40,14;151,1859689
168;2,5;0,000490874;160;149,7;21,31;151,2091469
166;3,1;0,000754768;190;150,15;19,8;151,4498679
265;3,193;0,000800733;250;149,55;-24,45;151,5354909
165;2,4;0,000452389;191;150,15;20,5;151,5429725
261;3,666;0,00105554;350;151,15;-12,75;151,686799
172;2,5;0,000490874;200;147,4;37,31;152,0486636
164;2,2;0,000380133;124;150,95;21,6;152,4875815
145;2,054;0,000331353;140;152,49;-16,44;153,3736408
163;2;0,000314159;134;152,35;21,6;153,8735926
137;2,161;0,000366775;130;155,73;-4,5;155,7950028
125;2,269;0,000404351;130;156,63;8,7;156,8714343
138;2,246;0,000396195;100;157,1;-3,8;157,1459513
151;3,183098862;0,000795775;250;157,74;-16,8;158,632114
154;2,147;0,000362038;130;157,87;-16,17;158,6959539
110;2,864788976;0,000644578;200;155,77;41,44;161,187985
105;2,125;0,000354656;160;156;46,44;162,7657015
161;3,501408748;0,000962887;250;161,97;-18,07;162,9748625
162;2,634;0,000544906;150;162,97;-16,17;163,7702348
75;2,156;0,000365079;128;169,6;-16,02;170,3549248
70;3,17;0,000789239;230;173,33;-20,5;174,5380729
69;2,154;0,000364402;150;174,48;-19,83;175,603244
68;2,224;0,000388472;160;175,15;-21,03;176,4080027
66;2,8;0,000615752;200;177,65;-23,93;179,2544767
65;2,915;0,00066737;230;178,65;-22,03;180,0031761
90;3,561;0,000995941;200;179,75;25,92;181,6092203
89;2,25;0,000397608;120;180,75;24,4;182,3894802
49;3,454;0,000936989;240;182,35;38,37;186,3431764
51;3,365;0,000889324;180;182,85;40,39;187,2577758
47;3,2;0,000804248;150;184,08;38,29;188,0201332
39;2,103;0,000347351;100;189,05;-0,15;189,0500595
658;4,851;0,001848215;310;42,33;11,86;43,96007848
647;4,461;0,001562983;350;45,2;16,69;48,18294408
663;4,498;0,001589018;450;44,83;23,77;50,74191364
661;7,957747155;0,004973592;600;46,63;21,77;51,46153709
815;7,321127382;0,004209648;230;49,85;13,2;51,56803758
648;6,366197724;0,003183099;400;48,95;17,59;52,01452297
807;4,5;0,001590431;400;53,45;8,01;54,0468556
653;5,654;0,002510739;200;51,84;22,64;56,56814651
674;6,843662553;0,003678469;500;44,68;36,19;57,49798692
805;6;0,002827433;400;57,05;13,31;58,58206722
636;4,24;0,001411957;250;58,56;12,84;59,95114011
635;4,364;0,001495751;400;59,26;15,34;61,21326
638;4,368;0,001498494;250;59,07;17,89;61,71966461
637;4,183;0,00137425;400;59,76;17,39;62,23881185
639;6,207042781;0,003025933;500;61,8;18,59;64,53547939
632;7,002817496;0,00385155;600;64,05;15,94;66,00368247
596;6,68450761;0,003509366;600;60,41;27,84;66,51641677
643;4,774;0,001790007;320;63,4;20,79;66,72169138
592;5,616;0,002477103;500;59,29;34,34;68,5167111
609;4,378;0,001505364;400;66,61;22,08;70,1742011
597;4,643;0,001693118;320;68,51;26,44;73,43496238
585;4,018;0,001267972;154;67,99;31,84;75,07613269
598;6,525352667;0,003344243;350;72,91;22,54;76,31461
616;4,78;0,001794509;450;73,91;19,61;76,4672492
584;4,537;0,001616693;250;70,49;30,34;76,74213771
577;7,957747155;0,004973592;600;67,47;38,36;77,61243779
578;4,25;0,001418625;400;67,07;39,46;77,81694224
583;4,752;0,001773547;400;69,27;36,04;78,08466239
579;6,525352667;0,003344243;350;69,07;36,86;78,29000255
581;6,047887837;0,002872747;300;70,77;35,26;79,06744273
575;4,866;0,001859662;300;68,17;40,71;79,40058564
580;6,525352667;0,003344243;350;70,77;36,26;79,51842868
554;5,729577951;0,00257831;300;91,62;17,76;93,32546276
686;4,176;0,001369654;220;93,75;10,3;94,31411612
564;7,957747155;0,004973592;600;89,87;37,01;97,1923711
426;7,321127382;0,004209648;600;98,5;9,6;98,96671158
429;7,957747155;0,004973592;700;101,3;1,85;101,3168915
352;7,321127382;0,004209648;500;101,77;-4,58;101,8730057
347;5,449;0,002331973;340;101,33;-11,28;101,9559086
561;5,729577951;0,00257831;400;97,22;32,81;102,6071367
301;4,351;0,001486853;136;102,28;-24,86;105,2578643
439;4,087;0,001311895;350;105,68;7,6;105,9529254
433;5,570423008;0,00243706;550;106,28;0,15;106,2801059
443;4,744858797;0,001768221;600;106,13;10,6;106,6580372
441;7,639437268;0,004583662;800;106,73;8,5;107,0679359
526;7,321127382;0,004209648;600;108,42;26,24;111,5501412
520;7,798592212;0,004776638;600;110,02;21,88;112,1745729
299;7,957747155;0,004973592;800;107,98;-31,56;112,4976178
518;6,047887837;0,002872747;500;112,42;25,48;115,2713616
535;7,161972439;0,004028609;600;107,37;44,24;116,1270619
370;4,409;0,001526758;300;115,02;-16,45;116,1903735
375;7,480282325;0,004394666;700;115,02;-17,79;116,3876475
532;7,798592212;0,004776638;850;107,92;45,84;117,2520021
326;4,163;0,00136114;300;115,96;-21,2;117,8819817
492;4,209;0,001391386;400;117,62;29,63;121,2946878
491;4,221;0,001399331;400;118,92;30,03;122,6530362
382;4,948;0,001922867;500;121,89;-18,79;123,3297863
296;4,3;0,001452201;250;120,38;-28,36;123,675519
508;7,639437268;0,004583662;750;116,64;43,08;124,3413688
462;5,411268065;0,002299789;500;122,45;30,45;126,1792574
500;7,002817496;0,00385155;300;117,22;49,03;127,0608882
487;4,185;0,001375564;400;123,92;38,22;129,6801249
389;4,709;0,001741595;450;129,79;-15,19;130,6758593
290;7,639437268;0,004583662;600;127,6;-28,23;130,6854732
219;4,6;0,001661903;350;131,9;4,04;131,9618566
288;4,267;0,001429997;350;129,46;-28,23;132,5021679
254;5,2;0,002123717;500;132,33;16;133,2937692
224;5;0,001963495;400;133,2;6,67;133,3668958
249;5,7;0,002551759;350;133,3;12,35;133,87088
190;4,6;0,001661903;300;129,61;34,45;134,110233
228;4,4;0,001520531;350;135,38;10,47;135,7842601
286;5,606;0,002468289;76;133,26;-26,63;135,8947552
248;4,2;0,001385442;500;136,45;11,35;136,9212365
229;6,3;0,003117245;550;137,18;9,47;137,5064846
211;4,1;0,001320254;500;139,1;4,04;139,1586562
212;7,480282325;0,004394666;600;139,35;5,32;139,4515145
455;5,729577951;0,00257831;800;136,95;26,9;139,5668747
235;7,3;0,004185387;600;139,8;10,6;140,2012839
274;4,64;0,001690931;350;139,65;-15,21;140,4758577
283;5,827;0,002666735;500;138,95;-26,91;141,5318007
474;7,639437268;0,004583662;1000;135,5;40,9;141,5381927
268;4,58;0,001647483;600;141,45;-22,45;143,2204769
282;5,105;0,002046828;450;141,25;-25,61;143,5528983
242;4,6;0,001661903;450;144,15;15,45;144,9756014
266;5,496;0,002372375;320;147,15;-26,45;149,5082774
169;5;0,001963495;300;147,6;28,06;150,2435476
131;5,252113122;0,002166497;300;150,13;10,6;150,5037438
171;7,957747155;0,004973592;450;148,4;30,51;151,5038617
173;5,2;0,002123717;400;147,2;38,31;152,1035703
133;4,61549335;0,001673116;270;151,68;12,1;152,1618625
134;4,774648293;0,001790493;250;152,1;14,75;152,813522
144;4,13802852;0,001344859;250;152,99;-15,44;153,7671412
126;4,456338407;0,001559718;300;155,03;9,7;155,333161
